UDISE Code,SchoolName,State,District,Block,Pin Code,School Management,School Category,School Type,Library Availability,Starting Class,Ending Class,Playground Available,ICT Lab,Internet,Desktop,Laptop,Tablet,Printer,Projector
01050100101,MIDDLE SCHOOL HURDAMIR,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,1-Department of Education,Primary with Upper Primary,Co-educational,No,1,8,Yes,No,N,0,0,0,0,0
01050100102,PRIMARY SCHOOL GUFKRAL,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,1-Department of Education,Primary,Co-educational,No,1,5,Yes,No,N,0,0,0,0,0
01050100201,MIDDLE SCHOOL MIR MOHALLA DADASARA,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,No,No,N,5,0,0,1,0
01050100222,GIRLS HIGH SCHOOL DADASARA,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,1-Department of Education,Secondary Only,Girls,Yes,9,10,No,No,N,7,1,1,2,1
09590701205,S,Uttar Pradesh,KUSHINAGAR Block,MOTICHAK,274149,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
01050100251,MODERN PUBLIC SCHOOL DADSARA,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,5-Private Unaided (Recognized),Pr. Up Pr. and Secondary Only,Co-educational,Yes,1,10,Yes,No,N,5,2,0,2,1
01050100253,MODERN EDUCATIONAL INSTT,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,Y,6,3,0,2,0
01050100301,MIDDLE SCHOOL CHANDRIGAM,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,1-Department of Education,Primary with Upper Primary,Co-educational,No,1,8,No,No,Y,0,0,0,1,0
01050100305,IQRA MODEL SCHOOL,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
01050100601,GIRLS MIDDLE SCHOOL AMLAR,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,5,0,0,1,0
01050100602,BOYS PRIMARY SCHOOL AMLAR,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
01050100621,BOYS HIGH SCHOOL AMLAR,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,1-Department of Education,Secondary Only,Co-educational,Yes,9,10,Yes,No,N,0,0,1,0,0
01050100652,AGLOW PUBLIC SCHOOL NOWPORA,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,5-Private Unaided (Recognized),Pr. Up Pr. and Secondary Only,Co-educational,Yes,1,10,Yes,No,Y,7,0,0,1,1
01050100653,MODERN PUBLIC SCHOOL AMLAR NOWPORA,Jammu & Kashmir,PULWAMA Block,AWANTIPORA,192123,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,Yes,1,8,No,No,Y,0,0,0,0,0
